
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

96 1343 26 268
96 1381 25 244
96 1417 25 220
96 1452 23 197
96 1486 22 175
96 1520 20 155
96 1551 18 137
96 1582 15 121
96 1612 13 107
96 1640 10 97
96 1667 6 89
96 1693 2 84
96 1717 -3 83
96 1741 -10 86
96 1763 -19 93
96 1784 -32 105
96 1804 -48 123
96 1823 -67 145
96 1841 -91 173
96 1858 -119 204
96 1874 -149 236
96 1889 -177 266
96 1903 -197 288
96 1916 -194 294
96 1928 -145 276
96 1940 -13 231
96 1951 235 167
96 1961 609 98
96 1971 1057 44
96 1980 1483 14
96 1988 1797 2
96 1996 1959 0
96 2000 2000 0
110 0 0 0
110 3 0 -0
110 11 0 -0
110 19 0 -0
110 28 0 -0
110 38 1 -0
110 48 2 -0
110 59 2 -0
110 71 3 -1
110 83 3 -2
110 96 4 -3
110 110 4 -4
110 125 4 -5
110 141 4 -6
110 158 3 -7
110 176 2 -8
110 195 1 -8
110 215 -0 -7
110 236 -3 -6
110 258 -5 -2
110 282 -9 2
110 306 -12 9
110 332 -17 18
110 359 -21 31
110 387 -26 46
110 417 -30 65
110 448 -35 87
110 479 -39 111
110 513 -42 139
110 547 -45 169
110 582 -46 200
110 618 -46 233
110 656 -45 265
110 694 -42 297
110 733 -39 328
110 773 -34 356
110 813 -29 382
110 854 -22 404
110 895 -16 422
110 937 -9 435
110 979 -2 444
110 1020 4 448
110 1062 10 446
110 1104 16 440
110 1145 22 430
110 1186 26 415
110 1226 30 397
110 1266 33 375
110 1305 35 351
110 1343 36 325
110 1381 36 298
110 1417 35 271
110 1452 34 245
110 1486 32 220
110 1520 29 196
110 1551 26 174
110 1582 23 155
110 1612 19 139
110 1640 15 126
110 1667 10 116
110 1693 4 109
110 1717 -3 106
110 1741 -12 108
110 1763 -25 113
110 1784 -40 124
110 1804 -60 139
110 1823 -84 159
110 1841 -112 182
110 1858 -143 207
110 1874 -173 232
110 1889 -198 252
110 1903 -207 262
110 1916 -182 257
110 1928 -100 231
110 1940 71 185
110 1951 353 127
110 1961 734 72
110 1971 1159 31
110 1980 1544 9
110 1988 1822 1
110 1996 1964 0
110 2000 2000 0
125 0 0 0
125 3 0 -0
125 11 0 -0
125 19 0 -0
125 28 1 -0
125 38 1 -0
125 48 2 -0
125 59 3 -0
125 71 4 -1
125 83 5 -2
125 96 5 -3
125 110 5 -4
125 125 5 -5
125 141 5 -6
125 158 4 -7
125 176 2 -7
125 195 0 -7
125 215 -1 -6
125 236 -4 -3
125 258 -8 0
125 282 -13 6
125 306 -18 15
125 332 -23 26
125 359 -29 40
125 387 -35 57
125 417 -41 78
125 448 -47 102
125 479 -52 129
125 513 -56 159
125 547 -60 191
125 582 -61 225
125 618 -61 260
125 656 -60 295
125 694 -57 329
125 733 -52 362
125 773 -46 393
125 813 -39 420
125 854 -31 445
125 895 -23 465
125 937 -14 481
125 979 -5 492
125 1020 3 498
125 1062 11 499
125 1104 20 496
125 1145 27 487
125 1186 33 474
125 1226 39 456
125 1266 43 435
